vehicle_id;incident_id;Unit Description
747878;606125;MOTOR VEHICLE
747879;606125;MOTOR VEHICLE
747882;606129;MOTOR VEHICLE
747883;606129;MOTOR VEHICLE
747884;606131;MOTOR VEHICLE
747885;606131;MOTOR VEHICLE
747886;606133;MOTOR VEHICLE
747887;606133;MOTOR VEHICLE
747888;606135;MOTOR VEHICLE
747890;606135;MOTOR VEHICLE
747891;606138;MOTOR VEHICLE
747892;606139;MOTOR VEHICLE
747893;606139;MOTOR VEHICLE
747896;606143;MOTOR VEHICLE
747897;606144;MOTOR VEHICLE
747899;606144;MOTOR VEHICLE
747900;606147;MOTOR VEHICLE
747901;606148;MOTOR VEHICLE
747902;606149;MOTOR VEHICLE
747903;606150;MOTOR VEHICLE
747904;606151;MOTOR VEHICLE
747906;606151;MOTOR VEHICLE
747908;606155;MOTOR VEHICLE
747909;606156;MOTOR VEHICLE
747910;606156;MOTOR VEHICLE
747911;606158;MOTOR VEHICLE
747913;606158;MOTOR VEHICLE
747914;606161;MOTOR VEHICLE
747916;606161;MOTOR VEHICLE
747917;606164;MOTOR VEHICLE
747918;606165;MOTOR VEHICLE
747919;606166;MOTOR VEHICLE
747920;606167;MOTOR VEHICLE
747921;606168;MOTOR VEHICLE
747922;606169;MOTOR VEHICLE
747923;606170;MOTOR VEHICLE
747925;606170;MOTOR VEHICLE
747926;606170;MOTOR VEHICLE
747928;606175;MOTOR VEHICLE
747929;606175;MOTOR VEHICLE
747930;606177;MOTOR VEHICLE
747931;606178;MOTOR VEHICLE
747932;606179;MOTOR VEHICLE
747933;606179;MOTOR VEHICLE
747934;606181;MOTOR VEHICLE
747935;606181;MOTOR VEHICLE
747936;606183;MOTOR VEHICLE
747937;606183;MOTOR VEHICLE
747938;606185;MOTOR VEHICLE
747940;606185;MOTOR VEHICLE
747942;606185;MOTOR VEHICLE
747943;606190;MOTOR VEHICLE
747944;606190;MOTOR VEHICLE
747947;606194;MOTOR VEHICLE
747948;606194;MOTOR VEHICLE
747949;606196;MOTOR VEHICLE
747950;606196;MOTOR VEHICLE
747951;606198;MOTOR VEHICLE
747952;606198;MOTOR VEHICLE
747954;606198;MOTOR VEHICLE
